date,items,mom,peso
2016-08-01,7614,1.45,0.6079
2016-08-01,7615,0.87,0.3504
2016-08-01,7617,-0.07,0.1524
2016-08-01,7618,1.43,0.1827
2016-08-01,7619,3.62,0.0153
2016-08-01,7620,0.67,0.0835
2016-08-01,7622,0.77,0.0514
2016-08-01,7623,0.73,0.0178
2016-08-01,7624,0.24,0.0142
2016-08-01,7625,0.27,17.9034
2016-08-01,7627,-0.26,4.606
2016-08-01,7628,0.0,2.6444
2016-08-01,7629,0.0,0.364
2016-08-01,7630,0.0,0.0566
2016-08-01,7631,0.43,0.7391
2016-08-01,7632,-0.76,0.262
2016-08-01,7634,-3.85,0.3705
2016-08-01,7635,0.0,0.0673
2016-08-01,7639,0.78,0.0945
2016-08-01,7640,0.63,8.2558
2016-08-01,7641,0.95,2.8177
2016-08-01,7642,0.8,0.857
2016-08-01,7643,-0.03,0.2508
2016-08-01,7644,0.35,0.0989
2016-08-01,7645,1.19,0.3476
2016-08-01,7647,0.24,1.7283
2016-08-01,7648,0.98,0.1006
2016-08-01,7649,1.39,0.1097
2016-08-01,7650,1.77,0.0417
2016-08-01,7653,1.49,0.0478
2016-08-01,7654,0.26,0.6116
2016-08-01,7656,0.16,5.0416
2016-08-01,7657,0.0,3.9105
2016-08-01,7658,0.94,0.8772
2016-08-01,7659,-0.01,0.1443
2016-08-01,7660,0.8,11.4881
2016-08-01,7661,0.61,3.6929
2016-08-01,7662,0.63,3.4261
2016-08-01,7663,0.98,0.2336
2016-08-01,7664,0.6,0.4182
2016-08-01,7665,0.6,0.3255
2016-08-01,7666,0.69,0.1883
2016-08-01,7669,1.06,0.1861
2016-08-01,7670,1.2,0.2066
2016-08-01,7671,1.07,0.1992
2016-08-01,7673,0.11,0.4004
2016-08-01,7674,0.69,0.7069
2016-08-01,7680,3.18,0.0415
2016-08-01,7681,0.13,0.0877
2016-08-01,7683,0.97,5.1105
2016-08-01,7684,0.77,1.134
2016-08-01,7685,1.06,0.463
2016-08-01,7686,0.92,0.4704
2016-08-01,7688,-0.62,0.0034
2016-08-01,7690,0.74,0.5734
2016-08-01,7691,-0.2,0.0997
2016-08-01,7692,1.01,0.3766
2016-08-01,7695,1.07,3.403
2016-08-01,7697,0.74,2.6847
2016-08-01,7699,0.3,0.3081
2016-08-01,7703,1.12,0.095
2016-08-01,7704,0.92,1.0155
2016-08-01,7707,0.8,0.1139
2016-08-01,7708,0.38,0.0111
2016-08-01,7709,0.46,0.1679
2016-08-01,7710,0.35,0.2166
2016-08-01,7711,2.47,0.1386
2016-08-01,7712,0.96,10.6726
2016-08-01,7713,0.81,6.5108
2016-08-01,7715,0.4,0.0484
2016-08-01,7719,0.57,1.2489
2016-08-01,7720,0.87,4.0288
2016-08-01,7721,0.7,0.0149
2016-08-01,7724,0.52,0.0828
2016-08-01,7727,0.75,0.6351
2016-08-01,7728,0.81,0.0136
2016-08-01,7730,1.76,2.9967
2016-08-01,7731,0.61,0.1883
2016-08-01,7732,-0.95,0.0115
2016-08-01,7733,-0.19,0.1643
2016-08-01,7735,0.66,0.0451
2016-08-01,7736,0.33,0.0962
2016-08-01,7738,1.72,0.4287
2016-08-01,7747,1.66,0.0036
2016-08-01,7753,11.58,0.3491
2016-08-01,7756,1.43,0.3417
2016-08-01,7758,-0.31,1.093
2016-08-01,7760,0.17,0.072
2016-08-01,7761,-0.09,0.0448
2016-08-01,7763,0.59,0.0273
2016-08-01,7766,0.99,4.6385
2016-08-01,7769,2.24,0.017
2016-08-01,7777,1.05,0.5294
2016-08-01,7778,0.92,0.1361
2016-08-01,7779,0.37,0.0398
2016-08-01,7782,0.89,0.3469
2016-08-01,7783,0.89,0.1313
2016-08-01,7784,-1.23,0.0253
2016-08-01,7785,1.17,0.1902
2016-08-01,7786,-0.02,3.717
2016-08-01,7789,0.0,0.012
2016-08-01,7790,0.0,0.9707
2016-08-01,7791,0.69,0.099
2016-08-01,7792,0.0,1.2664
2016-08-01,7794,-0.97,0.1568
2016-08-01,8873,3.04,0.0005
2016-08-01,8874,1.41,0.0007
2016-08-01,12222,-5.6,0.509
2016-08-01,12223,5.43,0.0131
2016-08-01,12224,2.41,0.0155
2016-08-01,12294,0.85,0.0617
2016-08-01,12300,-0.84,0.0012
2016-08-01,12302,3.72,0.0175
2016-08-01,12304,1.01,0.1075
2016-08-01,12305,-2.84,0.0071
2016-08-01,12379,-1.3,0.1523
2016-08-01,12380,2.92,0.0018
2016-08-01,12393,2.52,1.2899
2016-08-01,12394,1.21,0.2262
2016-08-01,12395,-0.09,0.1573
2016-08-01,12396,-5.53,0.044
2016-08-01,12397,0.9,0.008
2016-08-01,12398,-0.71,0.1676
2016-08-01,12399,-0.8,0.0741
2016-08-01,12400,0.63,0.1395
2016-08-01,12401,-0.09,0.0114
2016-08-01,12402,-1.31,0.0983
2016-08-01,12403,-1.12,0.0579
2016-08-01,12404,-0.1,0.0067
2016-08-01,12405,1.02,0.074
2016-08-01,12406,-0.33,0.0633
2016-08-01,12407,1.43,0.0017
2016-08-01,12408,-0.41,0.0235
2016-08-01,12409,0.12,0.0435
2016-08-01,12410,2.74,0.0075
2016-08-01,12411,-0.45,0.196
2016-08-01,12412,0.69,0.1058
2016-08-01,12413,-0.37,0.1375
2016-08-01,12414,-0.14,0.0601
2016-08-01,12416,0.66,0.0971
2016-08-01,12420,0.1,0.0579
2016-08-01,12421,1.14,0.4382
2016-08-01,12422,1.19,4.1618
2016-08-01,12423,0.06,0.0465
2016-08-01,12424,1.15,0.2186
2016-08-01,12425,0.52,0.1131
2016-08-01,12426,-1.43,0.2571
2016-08-01,12427,0.95,2.9687
2016-08-01,12428,1.42,0.2012
2016-08-01,12429,0.0,0.6959
2016-08-01,12430,0.0,0.2836
2016-08-01,12431,-0.88,0.0075
2016-08-01,12432,-2.31,0.0045
2016-08-01,12433,-0.47,0.0208
2016-08-01,12434,1.8,0.0355
2016-08-01,12435,-0.55,0.0568
